,id,filepath,label
2,blues,blues/blues.00084.au,0
7,blues,blues/blues.00053.au,0
13,blues,blues/blues.00017.au,0
24,blues,blues/blues.00002.au,0
40,blues,blues/blues.00059.au,0
41,blues,blues/blues.00028.au,0
45,blues,blues/blues.00098.au,0
47,blues,blues/blues.00070.au,0
58,blues,blues/blues.00079.au,0
66,blues,blues/blues.00046.au,0
80,blues,blues/blues.00067.au,0
91,blues,blues/blues.00090.au,0
100,blues,blues/blues.00007.au,0
108,blues,blues/blues.00096.au,0
124,blues,blues/blues.00056.au,0
135,blues,blues/blues.00062.au,0
144,blues,blues/blues.00044.au,0
145,blues,blues/blues.00021.au,0
146,blues,blues/blues.00095.au,0
154,blues,blues/blues.00014.au,0
163,blues,blues/blues.00068.au,0
172,blues,blues/blues.00020.au,0
184,blues,blues/blues.00054.au,0
185,blues,blues/blues.00076.au,0
190,blues,blues/blues.00008.au,0
239,blues,blues/blues.00038.au,0
264,blues,blues/blues.00030.au,0
292,blues,blues/blues.00051.au,0
303,blues,blues/blues.00005.au,0
307,blues,blues/blues.00045.au,0
308,blues,blues/blues.00026.au,0
309,blues,blues/blues.00064.au,0
310,blues,blues/blues.00074.au,0
315,blues,blues/blues.00036.au,0
341,blues,blues/blues.00092.au,0
342,blues,blues/blues.00000.au,0
388,blues,blues/blues.00012.au,0
392,blues,blues/blues.00072.au,0
408,blues,blues/blues.00024.au,0
413,blues,blues/blues.00065.au,0
422,blues,blues/blues.00063.au,0
424,blues,blues/blues.00058.au,0
440,blues,blues/blues.00073.au,0
458,blues,blues/blues.00049.au,0
460,blues,blues/blues.00089.au,0
467,blues,blues/blues.00016.au,0
470,blues,blues/blues.00097.au,0
473,blues,blues/blues.00055.au,0
486,blues,blues/blues.00094.au,0
489,blues,blues/blues.00093.au,0
491,blues,blues/blues.00010.au,0
497,blues,blues/blues.00009.au,0
508,blues,blues/blues.00031.au,0
512,blues,blues/blues.00050.au,0
514,blues,blues/blues.00099.au,0
522,blues,blues/blues.00083.au,0
